slice_file_name,fsID,start,end,salience,fold,classID,class
100032-3-0-0.wav,100032,0,0.32,1,5,3,dog_bark
100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing
100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing
100263-2-0-126.wav,100263,63,67,1,5,2,children_playing
100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing
100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing
100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing
100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing
100263-2-0-36.wav,100263,18,22,1,5,2,children_playing
100648-1-0-0.wav,100648,4.82,5.47,2,10,1,car_horn
100648-1-1-0.wav,100648,9,10.05,2,10,1,car_horn
100648-1-2-0.wav,100648,16.7,17.1,2,10,1,car_horn
100648-1-3-0.wav,100648,17.63,19.25,2,10,1,car_horn
100648-1-4-0.wav,100648,25.33,27.2,2,10,1,car_horn
100652-3-0-0.wav,100652,0,4,1,2,3,dog_bark
100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark
100652-3-0-2.wav,100652,1,5,1,2,3,dog_bark
100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark
100795-3-0-0.wav,100795,0.19,4.19,1,10,3,dog_bark
100795-3-1-0.wav,100795,13.06,17.06,1,10,3,dog_bark
100795-3-1-1.wav,100795,13.56,17.56,1,10,3,dog_bark
100795-3-1-2.wav,100795,14.06,18.06,1,10,3,dog_bark
100852-0-0-0.wav,100852,0,4,1,5,0,air_conditioner
100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
100852-0-0-10.wav,100852,5,9,1,5,0,air_conditioner
100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
100852-0-0-12.wav,100852,6,10,1,5,0,air_conditioner
100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
100852-0-0-14.wav,100852,7,11,1,5,0,air_conditioner
100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
100852-0-0-16.wav,100852,8,12,1,5,0,air_conditioner
100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
100852-0-0-18.wav,100852,9,13,1,5,0,air_conditioner
100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
100852-0-0-2.wav,100852,1,5,1,5,0,air_conditioner
100852-0-0-20.wav,100852,10,14,1,5,0,air_conditioner
100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
100852-0-0-22.wav,100852,11,15,1,5,0,air_conditioner
100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
100852-0-0-24.wav,100852,12,16,1,5,0,air_conditioner
100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
100852-0-0-26.wav,100852,13,17,1,5,0,air_conditioner
100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
100852-0-0-28.wav,100852,14,18,1,5,0,air_conditioner
100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
100852-0-0-30.wav,100852,15,19,1,5,0,air_conditioner
100852-0-0-4.wav,100852,2,6,1,5,0,air_conditioner
100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
100852-0-0-6.wav,100852,3,7,1,5,0,air_conditioner
100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
100852-0-0-8.wav,100852,4,8,1,5,0,air_conditioner
100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
101281-3-0-0.wav,101281,0.34,4.34,2,6,3,dog_bark
101281-3-0-14.wav,101281,7.34,11.34,2,6,3,dog_bark
101281-3-0-5.wav,101281,2.84,6.84,2,6,3,dog_bark
